Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Date,Classifier
Intellivision,https://www.crunchbase.com/organization/intellivision-entertainment,"Consumer Electronics, Video Games","Irvine, California, United States",Intellivision Entertainment is an all new game console focused on bringing family and friends together in the same roomj l dfljsd.,2700000,USD,2700000,7/15/19,N
HuangXiaoDi,https://www.crunchbase.com/organization/huangxiaodi,"Food and Beverage, Internet","Shanghai, Shanghai, China",HuangXiaoDi is a new scene of new catering aggregation platform.,100000000,CNY,14539533,7/15/19,N
Kopari Beauty,https://www.crunchbase.com/organization/kopari-beauty,"Beauty, Consumer Goods, Cosmetics, E-Commerce, Fashion, Food and Beverage, Health Care, Retail","San Diego, California, United States",Kopari Beauty is a digitally native e-commerce beauty brand,20025000,USD,20025000,7/16/19,N
Trade Republic,https://www.crunchbase.com/organization/trade-republic,"Financial Services, FinTech, Mobile","Berlin, Berlin, Germany",Germany's first mobile-only and commission-free broker,17000000,EUR,19877029,7/16/19,N
HostnFly,https://www.crunchbase.com/organization/hostnfly,"Internet, Machine Learning, Service Industry","Paris, Ile-de-France, France",HostnFly is a B2C start-up that develops machine-learning algorithms to optimize revenue on platforms like Airbnb.,11000000,EUR,12370005,7/16/19,N
Wolf & Shepherd,https://www.crunchbase.com/organization/wolf---shepherd,"E-Commerce, Fashion, Internet, Retail, Shoes","Los Angeles, California, United States",Wolf & Shepherd integrates running shoe comfort into classic dress shoes for high-performing professionals.,2245000,USD,2245000,7/16/19,N
Akiva Superfoods,https://www.crunchbase.com/organization/kivashots,"Food and Beverage, Food Delivery, Health Care","Gurgaon, Haryana, India",Akiva Superfoods is one of the fastest growing wellness food FMCG companies in india.,2000000,USD,2000000,7/16/19,N
methinks Technologies Inc,https://www.crunchbase.com/organization/methinks,"Market Research, Usability Testing, UX Design, Video Conferencing","Palo Alto, California, United States",methinks is a platform where businesses can instantly find and video chat with their target customers.,7000000,USD,7000000,7/16/19,N
Substack,https://www.crunchbase.com/organization/substack,"Email, Media and Entertainment, News, Publishing, Subscription Service","San Francisco, California, United States",Substack makes it simple for a writer to start an email newsletter that makes money from subscriptions.,17420000,USD,17420000,7/16/19,N
Momentus,https://www.crunchbase.com/organization/momentus-space,"Aerospace, Space Travel, Transportation","Santa Clara, California, United States",MOMENTUS provides in-space flights for satellites between orbits.,33800000,USD,33800000,7/17/19,N
RoadBotics,https://www.crunchbase.com/organization/roadbotics-inc,"Apps, Artificial Intelligence, Autonomous Vehicles, Infrastructure, Internet of Things, Machine Learning, Mapping Services, Public Transportation, SaaS, Transportation","Pittsburgh, Pennsylvania, United States",RoadBotics empowers cities to assess roads using artificial intelligence.,11400000,USD,11400000,7/17/19,Y
DUST Identity,https://www.crunchbase.com/organization/dust-identity,"Cyber Security, Information Technology, Internet of Things, Nanotechnology, Security, Supply Chain Management","Boston, Massachusetts, United States",is a proprietary technology which utilizes nanodiamonds to create an unclonable identity layer on any object.,12300000,USD,12300000,7/17/19,N
Tensorflight,https://www.crunchbase.com/organization/tensorflight,"Artificial Intelligence, Computer Vision, Database, InsurTech, Property Insurance","New York, New York, United States","Automating commercial property inspections, underwriting, and risk assessment via computer vision and artificial intelligence.",4087781,USD,4087781,7/17/19,N
Fortify,https://www.crunchbase.com/organization/3dfortify,"3D Printing, Industrial Engineering, Manufacturing, Mechanical Engineering","Boston, Massachusetts, United States",Fortify is an advanced manufacturing startup that aims to disrupt additive manufacturing.,12500000,USD,12500000,7/17/19,N
eyeson,https://www.crunchbase.com/organization/visocon,"Cloud Data Services, Collaboration, Information Technology, Software, Unified Communications, Video Conferencing, Video Streaming","Graz, Steiermark, Austria","eyeson - video calls with no downloads, no lag, no hassle.",4500000,EUR,5194476,7/17/19,N
Oculogica,https://www.crunchbase.com/organization/oculogica,"Health Care, Health Diagnostics, Medical, Neuroscience","New York, New York, United States",Oculogica is developing eye-tracking based neurodiagnostics with a primary focus on concussion.,11692895,USD,11692895,7/17/19,N
DEARhealth,https://www.crunchbase.com/organization/dearhealth,"Health Care, Hospital, Medical, Therapeutics","Beverly Hills, California, United States",DEARhealth delivers a platform for value-based chronic disease management,6800000,USD,6800000,7/17/19,N
Pearl Certification,https://www.crunchbase.com/organization/pearl-national-home-certification-b0c7,"CleanTech, Consumer","Charlottesville, Virginia, United States",Vertical SaaS Cleantech company,5750000,USD,5750000,7/17/19,Y
Fluence Analytics,https://www.crunchbase.com/organization/advanced-polymer-monitoring-technologies-apmt,"Chemical, Developer Platform, Manufacturing","New Orleans, Louisiana, United States",Fluence Analytics is a manufacturer of industrial and laboratory systems.,1100000,USD,1100000,7/17/19,N
InCountry,https://www.crunchbase.com/organization/incountry,"Compliance, Data Storage, Information Technology","San Francisco, California, United States",InCountry is a data residency-as-a-service platform that enables global data compliance for international business.,22000000,USD,22000000,7/18/19,N
Ethic,https://www.crunchbase.com/organization/ethic-2,"Database, Financial Services, FinTech, Sustainability","New York, New York, United States","Ethic creates simple, custom-built, returns-driven passive portfolios for sustainability-focused investors.",19800000,USD,19800000,7/18/19,Y
GliaCloud,https://www.crunchbase.com/organization/gliacloud,"Artificial Intelligence, Big Data, Cloud Infrastructure","Taipei, T'ai-pei, Taiwan","Our product, GliaStudio, is an AI-powered video creation platform for content automation",2490000,USD,2490000,7/18/19,N
OGYDocs,https://www.crunchbase.com/organization/ogydocs,"Blockchain, Cryptocurrency, Financial Services, FinTech, Trading Platform","Kfar Saba, HaMerkaz, Israel","OGYDocs develops Wave, a decentralized application that connects all parties in the supply chain.",220000,USD,220000,7/19/19,N
Chef in Camicia,https://www.crunchbase.com/organization/chef-in-camicia,Food and Beverage,"Milan, Lombardia, Italy",Chef in Camicia is a social channel that broadcasts new videos about the world of food.,1350000,EUR,1526957,7/19/19,N
UVeye,https://www.crunchbase.com/organization/uveye,"Artificial Intelligence, Automotive, Machine Learning, Security","New York, New York, United States",The global standard of vehicle inspection based on AI & deep learning,35500000,USD,35500000,7/22/19,N
Kepler Analytics,https://www.crunchbase.com/organization/kepler-analytics,"Analytics, Big Data, Retail","Fitzroy, Victoria, Australia",Kepler Analytics provides bricks-and-mortar retailers with the best tools to make profitable data-driven decisions.,6000000,USD,6000000,7/22/19,N
Ruby Love,https://www.crunchbase.com/organization/pantyprop,"Consumer, Elder Care, Fashion, Health Care, Shopping, Women's","New York, New York, United States",Ruby Love is proprietary hygiene wearables with properly angled & built-in technology for incontinence and feminine care.,15025000,USD,15025000,7/23/19,Y
Muzmatch,https://www.crunchbase.com/organization/muzmatch,"Apps, Dating, Mobile Apps","London, England, United Kingdom",muzmatch is the worlds biggest dating app for Muslims looking for their life partner. Backed by Y Combinator S17.,8870000,USD,8870000,7/23/19,N
DemandJump,https://www.crunchbase.com/organization/demandjump,"Artificial Intelligence, Digital Marketing, Software","Indianapolis, Indiana, United States",DemandJump’s mission is to understand the world’s competitive digital data and make it actionable.,14050000,USD,14050000,7/23/19,N
FlipGive,https://www.crunchbase.com/organization/flipgive,"Brand Marketing, E-Commerce, E-Commerce Platforms, FinTech, Mobile Apps","Toronto, Ontario, Canada",FlipGive is a team commerce platform that connects merchants & consumers via the youth sports market,8000000,USD,8000000,7/23/19,N
YanRong,https://www.crunchbase.com/organization/yanrong,"Computer, Enterprise Software, Information Technology","Beijing, Beijing, China","A Cloud Storage provider Company Based in Beijing,China.",50000000,CNY,7268090,7/23/19,N
Ingcare,https://www.crunchbase.com/organization/ingcare,Education,"Beijing, Beijing, China", A autism recovery services platform.,,,,7/23/19,N
Bravado,https://www.crunchbase.com/organization/bravado-network,Internet,"San Francisco, California, United States",Bravado is the professional network for sales.,11972798,USD,11972798,7/24/19,N
Play Shifu,https://www.crunchbase.com/organization/play-shifu,"Augmented Reality, Media and Entertainment","Sheridan, Wyoming, United States",PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,7000000,USD,7000000,7/24/19,N
HeartHero,https://www.crunchbase.com/organization/hearthero,"Medical, Wellness","Denver, Colorado, United States","HeartHero is a dynamic startup company that has a strong ""WHY.""",1500000,USD,1500000,7/24/19,N
Stackin',https://www.crunchbase.com/organization/stackin,"Finance, FinTech, Messaging, Personal Finance","Los Angeles, California, United States","Stackin' helps members improve their finances, start investing and save money all via text.",6000000,USD,6000000,7/25/19,N
Eloomi,https://www.crunchbase.com/organization/eloomi,"Application Performance Management, Compliance, Corporate Training, E-Learning, Education, Human Resources, Information Technology, SaaS, Software","Copenhagen, Hovedstaden, Denmark",eloomi is a software tool that simplifies skill training and performance improvement in an organization.,16650000,USD,16650000,7/25/19,N
KisanHub,https://www.crunchbase.com/organization/kisanhub-com,"Agriculture, Farming","Cambridge, Cambridgeshire, United Kingdom",KisanHub is a Crop Intelligence Platform that connects enterprises with their crops to deliver actionable insights.,7664431,USD,7664431,7/25/19,N
VOLAVA,https://www.crunchbase.com/organization/volava,"Content, Fitness, Software","Barcelona, Catalonia, Spain",Fitness that connects.,1150000,EUR,1310341,7/25/19,N
Seniovo,https://www.crunchbase.com/organization/seniovo,Elder Care,"Berlin, Berlin, Germany",Seniovo supports elderly and disabled people with barrier-free structural alteration measures.,2000000,EUR,2228974,7/25/19,N
Thriva,https://www.crunchbase.com/organization/thriva,"Fitness, Health Care, Personal Health, Wellness","London, England, United Kingdom",Thriva offers a personalized at-home finger-prick blood test which enables individuals to easily track and improve health.,7500000,GBP,9241862,7/29/19,N
Minut,https://www.crunchbase.com/organization/minut,"Internet of Things, Security, Smart Home","Malmö, Skane Lan, Sweden",Minut is a Scandinavian startup pioneering a new approach to home security.,10745941,USD,10745941,7/29/19,N
Enmacc,https://www.crunchbase.com/organization/enmacc,"Energy, Information Services, Information Technology, Trading Platform","Munich, Bayern, Germany",Enmacc is an independent OTC energy trading platform that provides sales trading and makes energy trading.,10000000,EUR,11034631,7/29/19,N
Neudata,https://www.crunchbase.com/organization/neudata,"Big Data, Financial Services, FinTech","London, England, United Kingdom",Neudata helps investment managers discover a wide variety of alternative data sources.,1600000,USD,1600000,7/29/19,N
weffect (a brand of STRATACT),https://www.crunchbase.com/organization/weffect-a-brand-of-stratact,"Apps, Artificial Intelligence, Corporate Training, Human Resources, Internet of Things, Machine Learning, Mobile Apps, Small and Medium Businesses, Software","Vienna, Wien, Austria",weffect: the AI-driven way to empower all workers to contribute fully to the company’s bottom line!,1179000,EUR,1369528,7/29/19,N
Yonder,https://www.crunchbase.com/organization/popily,"Information Technology, Internet","Austin, Texas, United States",Yonder is the leading authentic internet company that helps our users understand the cultural context behind information online.,16000000,USD,16000000,7/30/19,N
Socio,https://www.crunchbase.com/organization/socio-labs-ltd,"Events, SaaS","Indianapolis, Indiana, United States","Socio lets event organizers build event apps that optimize event experience and boost ROI for attendees, exhibitors, and sponsors.",6725000,USD,6725000,7/30/19,N
Jobble,https://www.crunchbase.com/organization/jobble,"Marketplace, Online Portals, Retail","Boston, Massachusetts, United States",Jobble is the on-demand marketplace connecting businesses with people looking for flexible work.,13870000,USD,13870000,7/30/19,N
Physna,https://www.crunchbase.com/organization/physna,"3D Technology, CAD, Embedded Software, Enterprise Applications, Enterprise Software, Product Search, Quality Assurance, SaaS, Search Engine, Software, Visual Search","Cincinnati, Ohio, United States",SaaS company delivering the fastest and most accurate 3D model analysis technology on the market for engineering enhancement and automation.,8900000,USD,8900000,7/30/19,N
Cove,https://www.crunchbase.com/organization/cove-5,"Financial Services, FinTech, Insurance, InsurTech","Auckland, Auckland, New Zealand","Cove develops a digital platform on which New Zealanders are able to buy, manage, and claim insurance on.",3358737,USD,3358737,7/30/19,N
Truework,https://www.crunchbase.com/organization/truework,"Computer, Human Resources, Software","San Francisco, California, United States",API for employment verification,14900000,USD,14900000,7/30/19,N
Dgraph Labs,https://www.crunchbase.com/organization/dgraph,"Database, Open Source, Real Time","San Francisco, California, United States","Dgraph is a fast, transactional, native and distributed graph database.",14450000,USD,14450000,7/31/19,N
Bitwala,https://www.crunchbase.com/organization/bitwala,"Banking, Blockchain, Cryptocurrency, Financial Services, FinTech","Berlin, Berlin, Germany",Bitwala is the bank of the blockchain economy.,21791656,USD,21791656,7/31/19,N
Trueface,https://www.crunchbase.com/organization/trueface-ai,"Artificial Intelligence, Computer Vision, Developer APIs, Facial Recognition, Machine Learning, Security","Santa Monica, California, United States",Trueface applies computer vision technology to camera streams to enable businesses to make immediate decisions based on identified patterns.,4950000,USD,4950000,7/31/19,N
Progcap,https://www.crunchbase.com/organization/progcap,"Enterprise, Finance, Financial Services, Supply Chain Management","New Delhi, Delhi, India",Progcap is a financial service company that provides financial opportunities for micro and small businesses in the last mile.,6000000,USD,6000000,7/31/19,N
Aspire,https://www.crunchbase.com/organization/aspire-singapore,"Banking, Business Development, Financial Services, FinTech, Internet, Small and Medium Businesses","Singapore, Central Region, Singapore",#1 SME NeoBank in SouthEast Asia. Y-Combinator backed.,41500000,USD,41500000,8/1/19,N
Bloomscape,https://www.crunchbase.com/organization/bloomscape,"Delivery, E-Commerce, Home and Garden","Detroit, Michigan, United States",Bloomscape makes buying plants easy by delivering ready-to-go plants to its customer's door.,9200000,USD,9200000,8/1/19,N
HERO,https://www.crunchbase.com/organization/hero-2,"E-Commerce, Retail, Software","London, England, United Kingdom",HERO works with global retailers to transform analog retail space into smart stores.,10000000,USD,10000000,8/1/19,Y
SportsEdTV,https://www.crunchbase.com/organization/sportsedtv,"EdTech, Education, Social Media, Sports, Video","Miami, Florida, United States",Sports Education - Digital Media,3025000,USD,3025000,8/1/19,N
FNA,https://www.crunchbase.com/organization/financial-network-analytics,"Analytics, Artificial Intelligence, Data Visualization, Enterprise Software, Fraud Detection, Payments, Risk Management, Simulation","London, England, United Kingdom",FNA is a deep technology analytics company that offers financial system services.,6059284,USD,6059284,8/1/19,N
NextStep(NextStep Interactive),https://www.crunchbase.com/organization/nextstep-e7b2,"Education, Human Resources, Staffing Agency, Training","Seattle, Washington, United States",NextStep is a Pioneer Square Labs company.,6150000,USD,6150000,8/1/19,N
ARVORE,https://www.crunchbase.com/organization/arvore,Virtual Reality,"São Paulo, Sao Paulo, Brazil",AR/VR Content Studio ,5800000,USD,5800000,8/1/19,N
Opsani,https://www.crunchbase.com/organization/opsani,"Application Performance Management, Artificial Intelligence, Cloud Management, Machine Learning, SaaS, Software","Redwood City, California, United States","Optune Continuous Optimization AI is the quickest, easiest way to make your cloud applications run faster and more efficiently",14725000,USD,14725000,8/1/19,N
WeBuyz,https://www.crunchbase.com/organization/webuyz,"E-Commerce, Logistics, Software","Shenzhen, Guangdong, China",WeBuyz is an e-commerce enterprise that works for online businesses to creates Taobao and Tmall products.,175000,USD,175000,8/1/19,N
Ordit Food Delivery & Catering,https://www.crunchbase.com/organization/ordit-food-delivery-catering,"B2B, Catering, E-Commerce, Employee Benefits, Food and Beverage, Restaurants","Budapest, Budapest, Hungary",Ordit Food Delivery & Catering provides an innovative platform for companies and their employees to access a wide range of restaurants.,3300000,EUR,3679957,8/1/19,N
Next Silicon,https://www.crunchbase.com/organization/next-silicon,"Electronics, Semiconductor","Tel Aviv-yafo, Tel Aviv, Israel",Next Silicon develops stealth technology for startups in the United States.,,,,8/1/19,N
Greenage Technologies Power Systems,https://www.crunchbase.com/organization/greenage-technologies-power-systems,"Electronics, Energy, Manufacturing","Enugu, Enugu, Nigeria",Greenage Technologies Power Systems is an indigenous manufacturer of smart solar inverters.,57000,USD,57000,8/1/19,N
Woodio,https://www.crunchbase.com/organization/woodio-oy,"Manufacturing, Product Design, Real Estate","Helsinki, Southern Finland, Finland",Design and advanced biomaterials,,,,8/1/19,N
Leapmotor,https://www.crunchbase.com/organization/leapmotor,"Automotive, Electric Vehicle, Energy, Manufacturing","Hangzhou, Zhejiang, China",Leapmotor is a Hangzhou-based Chinese new energy car maker.,401019861,USD,401019861,8/5/19,Y
Blockfolio,https://www.crunchbase.com/organization/blockfolio,"Bitcoin, Cryptocurrency, Financial Services, Mobile Apps, Virtual Currency","Santa Monica, California, United States",Blockfolio offers mobile portfolio tracking and management for the cryptocurrency and blockchain industry.,17500000,USD,17500000,8/5/19,N
Backbone PLM,https://www.crunchbase.com/organization/backbone-plm-inc,"B2B, Consumer Goods, Fashion, SaaS, Software","Boulder, Colorado, United States",Backbone PLM is a platform that helps consumer goods companies manage complex design and product development processes.,21400000,USD,21400000,8/5/19,N
Gallant Pet,https://www.crunchbase.com/organization/gallant-pet,"Pet, Therapeutics","Vista, California, United States",Gallant Pet is a Pet service.,11000000,USD,11000000,8/5/19,N
MOTIONTAG,https://www.crunchbase.com/organization/motiontag,"Big Data, Public Transportation, Ticketing","Potsdam, Brandenburg, Germany",MOTIONTAG brings intelligence to mobility by helping transport companies understand how travellers use their and other’s services.,1300000,EUR,1590498,8/5/19,Y
Roto Travel,https://www.crunchbase.com/organization/roto-travel,"Tourism, Travel","Shanghai, Shanghai, China",Roto Travel is a Tourism Service provider.,60000000,CNY,8543922,8/5/19,N
Webflow,https://www.crunchbase.com/organization/webflow,"Content, Enterprise Software, Web Design","San Francisco, California, United States","Webflow allows the user to design, build, and launch responsive websites visually, while writing clean, semantic code.",74900000,USD,74900000,8/6/19,N
Mighty Buildings,https://www.crunchbase.com/organization/mighty-buildings,"3D Printing, Advanced Materials, Building Material, CAD, Construction, Green Building","Redwood City, California, United States",Mighty Buildings is a stealth-mode startup working on making housing more affordable with 3DP tech and automation.,36000000,USD,36000000,8/6/19,Y
Pattern,https://www.crunchbase.com/organization/pattern-e0b0,"Health Care, Lifestyle","New York, New York, United States",A family of brands with one common goal: to enjoy daily life,14000000,USD,14000000,8/6/19,N
Ezoic,https://www.crunchbase.com/organization/ezoic,"Artificial Intelligence, Information Services, Information Technology, SaaS, Test and Measurement, Web Development","Carlsbad, California, United States",Ezoic is a website optimization platform for digital publishers and website owners powered by true machine learning.,38600000,USD,38600000,8/6/19,N
Gramophone,https://www.crunchbase.com/organization/gramophone-218b,"Agriculture, AgTech, Farming, Internet","Indore, Madhya Pradesh, India",Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,5994571,USD,5994571,8/6/19,N
MEL Science,https://www.crunchbase.com/organization/mel-science,"EdTech, Education, Software","London, England, United Kingdom",MEL Science develops up to date chemistry kit subscription and VR software for learning chemistry,11700000,USD,11700000,8/6/19,N
Edgematrix,https://www.crunchbase.com/organization/edgematrix,"Artificial Intelligence, Software","Tokyo, Tokyo, Japan",EDGEMATRIX is a startup spun out from the AI ​​project team of a global venture company .,9000000,USD,9000000,8/6/19,N
Familynet GmbH,https://www.crunchbase.com/organization/familynet-gmbh,"Apps, Family, Lifestyle","Potsdam, Brandenburg, Germany","familynet developes Looping. Looping is a social organizer which helps to share events between individuals, groups, organizations and brands",,,,8/6/19,N
Flynance Air,https://www.crunchbase.com/organization/flynance-air,"Micro Lending, Travel",,Flynance allows users to book airline tickets for 25% down and repay their ticket in smaller increments up to their departure.,,,,8/6/19,N
Rooter,https://www.crunchbase.com/organization/rooter,"Mobile, Mobile Apps, Sports","New Delhi, Delhi, India",Rooter is India's biggest Sports Fan Engagement Platform engaging fans through Live Match Game & Sports Content feed in 8 Indian Languages.,3049175,USD,3049175,8/7/19,N
Morty,https://www.crunchbase.com/organization/morty,"E-Commerce, Financial Services, FinTech, Real Estate","New York, New York, United States","Morty is a mortgage marketplace that allows homebuyers to shop, compare -- and close -- any loan product from any lender, completely online.",11500000,USD,11500000,8/7/19,N
SignalWire,https://www.crunchbase.com/organization/signalwire,"Information Technology, Mobile, PaaS, Software, Telecommunications","Palo Alto, California, United States",SignalWire is a developer driven telecom stack that runs in a distributed global network in the cloud.,11600000,USD,11600000,8/7/19,N
Finanzguru,https://www.crunchbase.com/organization/finanzguru-by-dwins-gmbh,"Artificial Intelligence, Assistive Technology, Financial Services, FinTech, Machine Learning","Frankfurt, Hessen, Germany",Finanzguru is an AI based financial assistant.,6000000,EUR,6836975,8/7/19,N
DGene,https://www.crunchbase.com/organization/dgene-digital-technology,"Augmented Reality, Computer Vision, Virtual Reality","Shanghai, Shanghai, China",DGene is a virtual reality solution provider.,145000000,CNY,21326888,8/7/19,N
Rookout,https://www.crunchbase.com/organization/rookout,"Enterprise Software, Information Services, Information Technology, SaaS, Software Engineering","Palo Alto, California, United States",Rookout addresses the challenge of collecting and pipelining live code data.,12200000,USD,12200000,8/7/19,N
The Clozet,https://www.crunchbase.com/organization/the-clozet,E-Commerce,"Seoul, Seoul-t'ukpyolsi, South Korea",THE CLOZET is a fashion sharing service aiming to be Airbnb for fashion.,,,,8/7/19,N
Pathstream,https://www.crunchbase.com/organization/pathstream,"Corporate Training, E-Learning, Training","San Francisco, California, United States",Pathstream is a web-based platform for teaching in-demand tech skills for work.,13000000,USD,13000000,8/8/19,N
Sunday,https://www.crunchbase.com/organization/sunday-com,Consumer Goods,"Boulder, Colorado, United States",Sunday is a Boulder-based startup that’s reinventing the lawn and garden space.,9000000,USD,9000000,8/8/19,N
Curbio,https://www.crunchbase.com/organization/curbio,Home Renovation,"Potomac, Maryland, United States",Curbio is a unique tech-enabled home renovation company.,11000000,USD,11000000,8/9/19,N
Radius Networks,https://www.crunchbase.com/organization/radius-networks,"Hardware, Information Technology, Software","Washington, District of Columbia, United States",Radius Networks is the leading provider of mobile proximity technologies used by app developers .,25435000,USD,25435000,8/11/19,N
Light Field Lab,https://www.crunchbase.com/organization/light-field-lab-inc,"Digital Entertainment, Film, Hardware, Industrial Design, Information Technology, Media and Entertainment, Software","San Jose, California, United States",Light Field Lab is a breakthrough technology startup that builds an innovative holographic ecosystem.,35000000,USD,35000000,8/12/19,N
EPTI,https://www.crunchbase.com/organization/epti,"Finance, Incubators, Internet, Software","Stockholm, Stockholms Lan, Sweden",Venture Builder,2500000,USD,2500000,8/12/19,N
Yungehuo,https://www.crunchbase.com/organization/yungehuo,Logistics,"Shenzhen, Guangdong, China",Yungehuo is a Logistics company.,3442877,USD,3442877,8/12/19,N
WIMWI Foods,https://www.crunchbase.com/organization/wimwi-foods,"Fast-Moving Consumer Goods, Food and Beverage, Food Processing, Snack Food","Bengaluru, Karnataka, India",They bring healthy food options across the globe to Indian kitchens.,,,,8/12/19,N
Properly,https://www.crunchbase.com/organization/properly-a4b1,"Internet, Real Estate","Toronto, Ontario, Canada",Residential real estate marketplace,22000000,CAD,16648139,8/13/19,N
Kasten,https://www.crunchbase.com/organization/kasten,"Apps, Cloud Storage, Information Technology, Infrastructure, Software","Los Altos, California, United States",Application Backup and Recovery for Kubernetes.,17000000,USD,17000000,8/13/19,N
Kobo360,https://www.crunchbase.com/organization/kobo360,"Big Data, E-Commerce, Logistics, Retail, Supply Chain Management","Lagos, Lagos, Nigeria",Kobo360 is a tech-enabled digital logistics platform that aggregates end-to-end haulage operations.,37320000,USD,37320000,8/14/19,N
Boatsetter,https://www.crunchbase.com/organization/boatsetter,"Adventure Travel, Boating, Collaborative Consumption, Tourism, Travel","Fort Lauderdale, Florida, United States","Boatsetter is a boat rental community connecting boat owners, boat captains, and anyone who seeks a water-full experience.",27000000,USD,27000000,8/14/19,N
Doxper,https://www.crunchbase.com/organization/doxper,"Health Care, Hospital","Mumbai, Maharashtra, India",Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information.,5854801,USD,5854801,8/14/19,N
Talview,https://www.crunchbase.com/organization/talview,"Artificial Intelligence, Enterprise Software, Human Resources, Machine Learning","Palo Alto, California, United States",Talview is the fastest way to hire for enterprise employers across the globe.,6750000,USD,6750000,8/14/19,N
Flatfair,https://www.crunchbase.com/organization/flatfair,"FinTech, Real Estate, Rental Property","London, England, United Kingdom","Flatfair offers a simple, safe, and affordable alternative to tenancy deposits.",13234349,USD,13234349,8/14/19,N
Baze,https://www.crunchbase.com/organization/sanalytica,"Beauty, Fitness, Health Care, Wellness","Berlin, Berlin, Germany","Baze are enable every person to achieve their best health through a science-led, results-driven food and supplement platform.",6000000,USD,6000000,8/14/19,N
Mason,https://www.crunchbase.com/organization/mason,"Android, Hardware, Mobile Devices","Seattle, Washington, United States",Turn-key mobile infrastructure to build smart hardware products,25120000,USD,25120000,8/14/19,Y
PaulCamper,https://www.crunchbase.com/organization/paulcamper,"Internet, Marketplace, Rental, Travel","Berlin, Berlin, Germany",PaulCamper is Europe's campervan and RV sharing platform & community.,11800000,EUR,13322374,8/14/19,Y
Commsignia,https://www.crunchbase.com/organization/commsignia,"Automotive, Internet of Things, Wireless","Santa Clara, California, United States","Commsignia specializes in the research and development, manufacturing and distribution of cooperative intelligent transportation systems.",11000000,USD,11000000,8/15/19,Y
ChartSpan Medical Technologies,https://www.crunchbase.com/organization/chartspan-medical-technologies,"Health Care, Medical, mHealth, Software","Greenville, South Carolina, United States","ChartSpan provides turn-key, managed care coordination and compliance programs for doctors, clinics and health systems. ",37150000,USD,37150000,8/15/19,N
KiotViet,https://www.crunchbase.com/organization/kiotviet,"Point of Sale, Software","Hanoi, NA - Vietnam, Vietnam",KiotViet is the leading POS software solution in Vietnam.,6000000,USD,6000000,8/15/19,N
Crazy Fetish,https://www.crunchbase.com/organization/crazy-fetish,"E-Commerce, Internet, Sex Industry, Sex Tech, Shopping, Toys","Marbella, Andalucia, Spain",Crazy Fetish is a online adult shop.,260000,EUR,288400,8/15/19,N
AirPortr,https://www.crunchbase.com/organization/portr,"Delivery, Delivery Service, Transportation, Travel","London, England, United Kingdom","AirPortr is a Software and Service company developing and delivering innovative baggage services for passengers, airlines and airports.",18531099,USD,18531099,8/16/19,N
Vermietet.de,https://www.crunchbase.com/organization/vermietet-de,"Internet, Real Estate, Rental Property, Social Entrepreneurship","Berlin, Berlin, Germany",Vermietet.de is the one-stop solution for private landlords and property managers.,17000000,EUR,19360968,8/16/19,N
XYZ Robotics,https://www.crunchbase.com/organization/xyz-robotics,"Artificial Intelligence, Logistics, Robotics, Supply Chain Management","Allston, Massachusetts, United States",XYZ Robotics develops AI-enabled robotic perception and manipulation technology for logistics and manufacturing automation.,8000000,USD,8000000,8/16/19,N
Sadeem Technology,https://www.crunchbase.com/organization/sadeem-technology,"Information Technology, Mobile Apps, Smart Cities, Software","Thuwal, Ha'il, Saudi Arabia",Sadeem specializes in flood sensing systems for smart city applications.,2530000,USD,2530000,8/18/19,Y
ResortPass,https://www.crunchbase.com/organization/resortpass,"Hospitality, Internet, Leisure, Travel","Santa Monica, California, United States","ResortPass is an online booking platform for access to resorts and hotels for the pool, spa, fitness, and amenities.",11700000,USD,11700000,8/19/19,N
Tier IV,https://www.crunchbase.com/organization/tier-iv,"Automotive, Electric Vehicle, Electronics, Logistics, Media and Entertainment","Tokyo, Tokyo, Japan",Tier IV develops open source software for autonomous driving.,137834686,USD,137834686,8/19/19,Y
Blokable,https://www.crunchbase.com/organization/blokable-inc,"Building Material, Construction, Property Management, Real Estate, Smart Home","Seattle, Washington, United States",Blokable reduces the cost and time required to create and operate new multi-family housing.,30360946,USD,30360946,8/19/19,Y
e-bot7,https://www.crunchbase.com/organization/e-bot7,"Artificial Intelligence, Customer Service, Information Technology, SaaS, Sales Automation","München, Bayern, Germany",We automate Customer Communication through the integration of Artificial Intelligence,8140000,EUR,9167072,8/19/19,N
Goin,https://www.crunchbase.com/organization/goin-2,"Apps, Banking, Financial Services, FinTech","Barcelona, Catalonia, Spain",Goin is a mobile application to save money easily and take advantage of it without knowing how to invest.,2225000,EUR,2539222,8/19/19,N
EARTH AI,https://www.crunchbase.com/organization/earth-ai,"Artificial Intelligence, Information Technology, Software","San Mateo, California, United States",EARTH AI is discovering mineral deposits for the future of humanity in an efficient way with low environmental impact.,3757301,USD,3757301,8/19/19,Y
